INFO:__main__:dataset:
- multiple-graphs
- TUDataset
- BZR
derive_num: 30
logfname: bzr_fixed.log
nas_args:
  dynamic_nas_steps: 100
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  prob_scale: 4
  type: fixed_prob
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 5
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'tag', 'global_add_pool', 7000], 0.8641975308641975)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'tag', 'global_mean_pool', 3000], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 'global_mean_pool', 5500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sage', 'global_add_pool', 4000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_add_pool', 7500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 'global_mean_pool', 6000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sg', 'global_mean_pool', 7000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 'global_mean_pool', 4500], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 'global_max_pool', 6500], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'tag', 'global_max_pool', 6500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'ssg', 'global_add_pool', 3000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gin', 'global_max_pool', 3000], 0.9012345679012346)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 'global_max_pool', 6500], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gin', 'global_add_pool', 5500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 'global_add_pool', 3000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 'global_mean_pool', 5000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 'global_add_pool', 6000], 0.8641975308641975)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sg', 'global_add_pool', 4000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 'global_add_pool', 6500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 'global_add_pool', 3000], 0.8641975308641975)
INFO:nas.trainer:train | 0 era_time 3608.9916088581085
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_mean_pool', 6500], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_mean_pool', 4500], 0.8641975308641975)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 'global_max_pool', 4500], 0.9135802469135802)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'tag', 'global_mean_pool', 6500], 0.9135802469135802)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 'global_add_pool', 5000], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 'global_max_pool', 6000], 0.8888888888888888)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 'global_max_pool', 3500], 0.9135802469135802)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sage', 'global_add_pool', 5000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 'global_max_pool', 7500], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 'global_mean_pool', 3000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 'global_max_pool', 7000], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gat', 'global_mean_pool', 3500], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gin', 'global_mean_pool', 5500], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'ssg', 'global_add_pool', 7500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 'global_add_pool', 5000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 'global_max_pool', 6000], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 'global_max_pool', 4000], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 'global_mean_pool', 7500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 'global_max_pool', 3000], 0.9012345679012346)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'ssg', 'global_max_pool', 5500], 0.8888888888888888)
INFO:nas.trainer:train | 1 era_time 3482.690356016159
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_max_pool', 6000], 0.8888888888888888)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 'global_max_pool', 4500], 0.8641975308641975)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 'global_add_pool', 8000], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gmm', 'global_max_pool', 3500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sage', 'global_max_pool', 7000], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gat', 'global_max_pool', 6000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 'global_max_pool', 5500], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 'global_max_pool', 6000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 'global_max_pool', 6000], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_max_pool', 7500], 0.9135802469135802)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'tag', 'global_max_pool', 6000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gat', 'global_max_pool', 6000], 0.8641975308641975)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 'global_mean_pool', 6500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 'global_max_pool', 6500], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gin', 'global_max_pool', 4500], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gmm', 'global_max_pool', 4500], 0.9259259259259259)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 'global_max_pool', 6500], 0.8641975308641975)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gin', 'global_max_pool', 6500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 'global_max_pool', 7000], 0.9135802469135802)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 'global_max_pool', 6500], 0.9135802469135802)
INFO:nas.trainer:train | 2 era_time 4301.147093772888
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 'global_max_pool', 4500], 0.9382716049382716)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sg', 'global_max_pool', 5500], 0.8888888888888888)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 'global_max_pool', 6000], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 'global_max_pool', 3500], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gcn', 'global_max_pool', 5500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_max_pool', 5500], 0.9012345679012346)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sg', 'global_max_pool', 8000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 'global_max_pool', 3500], 0.9012345679012346)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 'global_max_pool', 4500], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 'global_max_pool', 8000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_max_pool', 6500], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'tag', 'global_max_pool', 7000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_max_pool', 6500], 0.8765432098765432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sage', 'global_max_pool', 4500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_max_pool', 4500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'tag', 'global_max_pool', 4500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 'global_max_pool', 6000], 0.9259259259259259)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gin', 'global_max_pool', 4500], 0.9012345679012346)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'tag', 'global_max_pool', 7000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 'global_max_pool', 8000], 0.8271604938271605)
INFO:nas.trainer:train | 3 era_time 3948.128383398056
