INFO:__main__:dataset:
- single-graph
- Planetoid
- Cora
derive_num: 30
logfname: cora_dynamic.log
nas_args:
  dynamic_nas_steps: 100
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  prob_scale: 4
  type: dynamic_prob
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 5
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gmm', 100], 0.860036832412523)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 140], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 200], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 100], 0.8379373848987108)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 180], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gmm', 140], 0.85451197053407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'ssg', 200], 0.8287292817679558)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 100], 0.848987108655617)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 120], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gcn', 140], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'tag', 200], 0.8434622467771639)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'tag', 120], 0.7937384898710865)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 200], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'tag', 140], 0.7734806629834254)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'ssg', 160], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 220], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 220], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 100], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 180], 0.852670349907919)
INFO:nas.trainer:train | 0 era_time 116.90167760848999
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gat', 120], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 100], 0.8250460405156538)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sage', 100], 0.8397790055248618)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gin', 200], 0.7053406998158379)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 160], 0.8471454880294659)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 140], 0.850828729281768)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 160], 0.7790055248618785)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 160], 0.848987108655617)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 180], 0.850828729281768)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 140], 0.8397790055248618)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'ssg', 220], 0.8397790055248618)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 180], 0.848987108655617)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 180], 0.8232044198895028)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 140], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 200], 0.852670349907919)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sage', 220], 0.852670349907919)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 120], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 140], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 100], 0.7090239410681399)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 100], 0.8176795580110497)
INFO:nas.trainer:train | 1 era_time 97.41649389266968
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 180], 0.848987108655617)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 220], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 160], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sage', 180], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 140], 0.848987108655617)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 100], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'tag', 180], 0.7937384898710865)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 140], 0.8453038674033149)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 200], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 120], 0.8084714548802947)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gmm', 180], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'ssg', 100], 0.8397790055248618)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 160], 0.860036832412523)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 220], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sage', 200], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 220], 0.8250460405156538)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 220], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 220], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 200], 0.8710865561694291)
INFO:nas.trainer:train | 2 era_time 126.19085168838501
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 140], 0.7826887661141805)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sg', 160], 0.8287292817679558)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 140], 0.8342541436464088)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 200], 0.8802946593001841)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'tag', 120], 0.7753222836095764)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gmm', 160], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 100], 0.8360957642725598)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 120], 0.7845303867403315)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 200], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 220], 0.850828729281768)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 100], 0.8121546961325967)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'ssg', 160], 0.850828729281768)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 220], 0.7513812154696132)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 220], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 120], 0.848987108655617)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 200], 0.8821362799263351)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 180], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 120], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 120], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sage', 140], 0.8655616942909761)
INFO:nas.trainer:train | 3 era_time 113.39412450790405
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 200], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gin', 160], 0.6022099447513812)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 100], 0.6942909760589319)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 100], 0.860036832412523)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sg', 220], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 200], 0.570902394106814)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 220], 0.6372007366482505)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 140], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 160], 0.8121546961325967)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 200], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 200], 0.8434622467771639)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sg', 180], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 120], 0.8360957642725598)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gat', 220], 0.8471454880294659)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gat', 180], 0.85451197053407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 120], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 180], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 100], 0.7421731123388582)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 180], 0.8766114180478821)
INFO:nas.trainer:train | 4 era_time 118.07033944129944
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sage', 220], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sage', 100], 0.8453038674033149)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 140], 0.8416206261510129)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'ssg', 140], 0.8360957642725598)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 180], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sg', 120], 0.8324125230202578)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 180], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 120], 0.852670349907919)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gmm', 180], 0.8802946593001841)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'tag', 140], 0.8139963167587477)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 120], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'sg', 180], 0.852670349907919)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sage', 120], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 160], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gmm', 140], 0.7311233885819521)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sg', 220], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 200], 0.8802946593001841)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 180], 0.7513812154696132)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 220], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 200], 0.8710865561694291)
INFO:nas.trainer:train | 5 era_time 123.58001065254211
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 180], 0.712707182320442)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'sg', 220], 0.8471454880294659)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 160], 0.860036832412523)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 120], 0.8250460405156538)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 200], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gcn', 220], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 120], 0.8360957642725598)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 160], 0.860036832412523)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'tag', 180], 0.8213627992633518)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sg', 220], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 160], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sage', 180], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sg', 220], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 200], 0.848987108655617)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 200], 0.8342541436464088)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 200], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 220], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sage', 160], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 200], 0.860036832412523)
INFO:nas.trainer:train | 6 era_time 116.77905988693237
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sage', 120], 0.858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sage', 200], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 160], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 160], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sg', 220], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'ssg', 160], 0.858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 220], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 200], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 220], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 120], 0.858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 180], 0.8821362799263351)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sage', 220], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 220], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 120], 0.85451197053407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 220], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 180], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sage', 200], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 180], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 160], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 220], 0.8802946593001841)
INFO:nas.trainer:train | 7 era_time 112.37622451782227
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 160], 0.858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 220], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sage', 220], 0.850828729281768)
