INFO:__main__:dataset:
- single-graph
- Planetoid
- Cora
derive_num: 30
logfname: cora_fixed.log
nas_args:
  dynamic_nas_steps: 100
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  prob_scale: 4
  type: fixed_prob
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 5
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gmm', 100], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 180], 0.8471454880294659)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'tag', 180], 0.8305709023941068)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gmm', 160], 0.7937384898710865)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 100], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 200], 0.8858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 220], 0.858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 100], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'ssg', 200], 0.8876611418047882)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 120], 0.8839779005524862)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gmm', 140], 0.6519337016574586)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 120], 0.8176795580110497)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 100], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 120], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 140], 0.8858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 180], 0.8784530386740331)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gmm', 160], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 100], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 200], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 200], 0.8710865561694291)
INFO:nas.trainer:train | 0 era_time 116.90489649772644
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gcn', 200], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gin', 100], 0.8121546961325967)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 160], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 200], 0.712707182320442)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 180], 0.860036832412523)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 200], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 200], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 160], 0.7974217311233885)
