INFO:__main__:dataset:
- single-graph
- Amazon
- Photo
derive_num: 10
is_random: false
logfname: photo_fixed_no-combinations.log
nas_args:
  dynamic_behaviour: undefined
  dynamic_nas_steps: 150
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  debug: false
  prob_scale: 4
  type: fixed_prob
  with_combinations: false
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 50
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 120], 0.8790849673202614)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 120], 0.8771241830065359)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 140], 0.9444444444444444)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 220], 0.9424836601307189)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 140], 0.8895424836601307)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 220], 0.9176470588235294)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 100], 0.7888888888888889)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 180], 0.9398692810457516)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 120], 0.8771241830065359)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 120], 0.9215686274509803)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 200], 0.903921568627451)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 180], 0.9352941176470588)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 180], 0.7379084967320262)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 160], 0.9196078431372549)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 220], 0.9163398692810457)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 120], 0.8738562091503268)
