INFO:__main__:dataset:
- single-graph
- Planetoid
- PubMed
derive_num: 10
is_random: false
logfname: pubmed_fixed_combinations.log
nas_args:
  dynamic_behaviour: undefined
  dynamic_nas_steps: 150
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  debug: false
  prob_scale: 4
  type: fixed_prob
  with_combinations: true
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 30
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 2, 220], 0.8463488843813387)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'ssg', 2, 200], 0.8356997971602435)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sg', 2, 140], 0.8171906693711968)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 2, 200], 0.8372210953346856)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 2, 220], 0.8169371196754563)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sage', 2, 160], 0.8349391480730223)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 2, 200], 0.8336713995943205)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 2, 120], 0.845841784989858)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 2, 100], 0.8093306288032455)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 2, 100], 0.8268255578093306)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 2, 100], 0.8232758620689655)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 2, 200], 0.8045131845841785)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'tag', 2, 120], 0.7933569979716024)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 2, 160], 0.8504056795131846)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 2, 100], 0.815922920892495)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'ssg', 2, 160], 0.8260649087221096)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 2, 160], 0.841024340770791)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 2, 180], 0.8349391480730223)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sage', 2, 100], 0.8293610547667343)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 2, 120], 0.8321501014198783)
INFO:nas.trainer:train | 0 era_time 858.5690772533417
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 2, 200], 0.8427991886409736)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 2, 160], 0.8260649087221096)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 2, 100], 0.8268255578093306)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'ssg', 2, 220], 0.8417849898580122)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gat', 2, 120], 0.8126267748478702)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'sg', 2, 100], 0.7920892494929006)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sage', 2, 200], 0.8496450304259635)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 2, 220], 0.8351926977687627)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 2, 180], 0.8389959432048681)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gin', 2, 220], 0.8176977687626775)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 2, 140], 0.8395030425963489)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 2, 220], 0.8493914807302231)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 2, 220], 0.8438133874239351)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 2, 200], 0.859026369168357)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gcn', 2, 180], 0.8412778904665315)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 2, 180], 0.8303752535496958)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 2, 140], 0.8245436105476673)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 2, 160], 0.8427991886409736)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gmm', 2, 100], 0.8202332657200812)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 2, 180], 0.8415314401622718)
INFO:nas.trainer:train | 1 era_time 919.7019543647766
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gmm', 2, 160], 0.8605476673427992)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 2, 220], 0.8506592292089249)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 2, 120], 0.8202332657200812)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 2, 120], 0.821501014198783)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sage', 2, 120], 0.8544624746450304)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sg', 2, 160], 0.8610547667342799)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gin', 2, 220], 0.8549695740365112)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 2, 160], 0.8397565922920892)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 2, 160], 0.8339249492900609)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 2, 220], 0.8481237322515213)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'tag', 2, 180], 0.8057809330628803)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 2, 180], 0.8395030425963489)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'tag', 2, 180], 0.8095841784989858)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 2, 140], 0.8202332657200812)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 2, 120], 0.8240365111561866)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 2, 200], 0.8367139959432048)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gcn', 2, 200], 0.8364604462474645)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 2, 120], 0.8156693711967545)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 2, 120], 0.8146551724137931)
